Invoice,customer_id,order_date,split,returned,order_value,log_order_value,n_lines,total_quantity,mean_unit_price,max_unit_price,price_vs_sku_mean,hour_of_day,day_of_week,is_uk,customer_prior_orders,customer_prior_returns,customer_prior_return_rate,customer_tenure_days,is_new_customer,basket_sku_return_rate,basket_max_sku_return_rate
SYN008785,957.0,2010-09-18 20:24:00,train,1,435.81,6.079498,19,107.0,4.07,17.91,1.3787,15,5,0,0,0,-1.0,0.0,1,0.210771,0.284821
SYN008786,5416.0,2010-09-18 21:28:00,train,0,144.09,4.977354,18,542.0,0.27,0.93,0.0604,15,5,1,2,0,0.0,76.2792,0,0.18052,0.23802
SYN008787,2158.0,2010-09-18 21:59:00,train,0,349.09,5.85819,19,355.0,0.98,2.18,0.2535,12,5,1,5,1,0.2,84.9458,0,0.171453,0.279208
SYN008788,3975.0,2010-09-19 00:05:00,train,0,70.47,4.269278,19,133.0,0.53,0.63,0.1352,12,6,1,0,0,-1.0,0.0,1,0.183588,0.310369
SYN008789,5629.0,2010-09-19 00:30:00,train,0,285.79,5.65875,24,117.0,2.44,14.49,0.6357,10,6,1,0,0,-1.0,0.0,1,0.184673,0.245065
SYN008790,4846.0,2010-09-19 01:06:00,train,1,327.82,5.79551,17,155.0,2.11,9.26,0.449,14,6,1,0,0,-1.0,0.0,1,0.191193,0.34857
SYN008791,3992.0,2010-09-19 01:14:00,train,0,23.53,3.199897,19,245.0,0.1,0.19,0.0244,16,6,1,0,0,-1.0,0.0,1,0.169682,0.239446
SYN008792,4122.0,2010-09-19 01:47:00,train,1,989.38,6.898089,27,171.0,5.79,34.0,1.4441,15,6,1,0,0,-1.0,0.0,1,0.169455,0.227662
SYN008793,5773.0,2010-09-19 01:56:00,train,0,31.81,3.490733,25,61.0,0.52,1.22,0.17,14,6,1,4,0,0.0,111.9931,0,0.182464,0.342981
SYN008794,1415.0,2010-09-19 02:05:00,train,0,223.55,5.414098,15,88.0,2.54,10.73,0.706,9,6,1,7,1,0.142857,207.9458,0,0.168044,0.261501
SYN008795,1928.0,2010-09-19 02:50:00,train,0,430.79,6.067939,31,300.0,1.44,8.33,0.3865,15,6,1,3,0,0.0,103.334,0,0.172753,0.25478
SYN008796,181.0,2010-09-19 02:56:00,train,0,116.54,4.766779,18,41.0,2.84,10.15,1.1276,8,6,1,2,0,0.0,41.2819,0,0.182379,0.234227
SYN008797,602.0,2010-09-19 02:56:00,train,0,182.02,5.209595,31,141.0,1.29,7.14,0.376,11,6,1,3,0,0.0,126.2174,0,0.181462,0.258694
SYN008798,4152.0,2010-09-19 03:21:00,train,0,684.61,6.530309,21,261.0,2.62,3.46,0.5485,12,6,0,3,0,0.0,266.8299,0,0.20046,0.302091
SYN008799,3721.0,2010-09-19 04:14:00,train,0,523.61,6.262655,19,149.0,3.51,18.73,0.8028,9,6,1,1,0,0.0,33.5028,0,0.183111,0.298723
SYN008800,5654.0,2010-09-19 04:22:00,train,0,765.47,6.641796,22,125.0,6.12,36.66,1.8357,11,6,1,5,1,0.2,145.5118,0,0.190178,0.284835
SYN008801,1594.0,2010-09-19 04:54:00,train,1,527.43,6.26991,19,67.0,7.87,10.49,2.2607,14,6,0,2,0,0.0,143.6375,0,0.184847,0.300406
SYN008802,3524.0,2010-09-19 05:04:00,train,0,485.02,6.18625,18,52.0,9.33,36.22,1.5203,9,6,1,2,0,0.0,24.7535,0,0.182051,0.280033
SYN008803,3541.0,2010-09-19 05:14:00,train,0,476.51,6.168585,26,591.0,0.81,2.77,0.2041,12,6,1,2,2,1.0,154.0958,0,0.181885,0.284947
SYN008804,4504.0,2010-09-19 05:32:00,train,0,79.98,4.394202,15,192.0,0.42,2.36,0.1385,9,6,1,1,0,0.0,1.9806,0,0.189815,0.307388
SYN008805,1750.0,2010-09-19 05:51:00,train,1,671.49,6.510987,30,361.0,1.86,9.28,0.4432,8,6,1,3,0,0.0,60.0917,0,0.185652,0.268902
SYN008806,1201.0,2010-09-19 07:06:00,train,0,25.0,3.258097,15,131.0,0.19,0.74,0.0558,12,6,1,2,1,0.5,114.8743,0,0.171024,0.241475
SYN008807,860.0,2010-09-19 08:07:00,train,1,1147.92,7.046578,18,103.0,11.14,41.76,2.7019,13,6,1,5,0,0.0,286.4882,0,0.191662,0.326128
SYN008808,5210.0,2010-09-19 08:32:00,train,1,270.26,5.603078,26,94.0,2.88,15.83,0.5472,15,6,1,1,0,0.0,12.0889,0,0.181734,0.388346
SYN008809,1971.0,2010-09-19 08:38:00,train,0,176.91,5.181278,15,76.0,2.33,3.84,0.5817,9,6,1,0,0,-1.0,0.0,1,0.171908,0.213401
SYN008810,2551.0,2010-09-19 08:44:00,train,0,386.78,5.960438,22,130.0,2.98,15.88,0.8676,12,6,1,3,0,0.0,110.3715,0,0.172763,0.278147
SYN008811,4077.0,2010-09-19 08:53:00,train,0,196.23,5.284371,16,94.0,2.09,5.39,0.4259,9,6,1,3,0,0.0,127.6903,0,0.175042,0.242048
SYN008812,2883.0,2010-09-19 12:02:00,train,1,167.18,5.125035,21,88.0,1.9,11.29,0.3794,11,6,1,3,2,0.666667,202.5868,0,0.199104,0.320115
SYN008813,2160.0,2010-09-19 12:21:00,train,0,1145.47,7.044443,18,159.0,7.2,17.74,1.8613,15,6,1,3,0,0.0,225.9743,0,0.181783,0.254256
SYN008814,5467.0,2010-09-19 13:35:00,train,0,243.84,5.500605,13,168.0,1.45,3.92,0.3752,15,6,1,4,0,0.0,70.7264,0,0.182858,0.25877
SYN008815,955.0,2010-09-19 13:53:00,train,1,5100.12,8.537215,20,113.0,45.13,236.72,9.835,15,6,1,2,0,0.0,43.6882,0,0.178188,0.266545
SYN008816,2274.0,2010-09-19 14:07:00,train,0,163.41,5.102363,21,158.0,1.03,5.16,0.2523,11,6,1,4,1,0.25,53.2194,0,0.195316,0.254832
SYN008817,558.0,2010-09-19 14:14:00,train,0,1153.15,7.051119,16,441.0,2.61,3.57,0.6,11,6,1,4,3,0.75,266.8076,0,0.168311,0.228309
SYN008818,1860.0,2010-09-19 14:15:00,train,0,118.05,4.779544,28,316.0,0.37,0.66,0.1081,14,6,1,6,0,0.0,260.2014,0,0.201391,0.282655
SYN008819,4817.0,2010-09-19 14:33:00,train,1,1032.02,6.940242,23,368.0,2.8,7.1,0.6542,15,6,1,0,0,-1.0,0.0,1,0.184821,0.349513
SYN008820,3022.0,2010-09-19 16:35:00,train,0,116.25,4.764308,11,167.0,0.7,2.06,0.356,14,6,1,1,1,1.0,16.6201,0,0.179102,0.23726
SYN008821,2046.0,2010-09-19 16:50:00,train,0,268.83,5.597792,25,476.0,0.56,1.98,0.1518,10,6,1,1,1,1.0,39.675,0,0.173389,0.269591
SYN008822,4056.0,2010-09-19 17:18:00,train,0,412.97,6.025794,22,147.0,2.81,5.09,0.5707,13,6,1,2,1,0.5,196.5819,0,0.185302,0.250408
SYN008823,171.0,2010-09-19 18:17:00,train,0,436.64,6.081397,23,231.0,1.89,9.44,0.5235,20,6,1,5,2,0.4,141.1917,0,0.195367,0.31179
SYN008824,3595.0,2010-09-19 18:56:00,train,0,3648.51,8.202348,14,125.0,29.19,122.75,8.4507,10,6,1,2,1,0.5,64.1708,0,0.178471,0.231742
SYN008825,3249.0,2010-09-19 20:38:00,train,0,158.95,5.074861,13,174.0,0.91,1.38,0.3362,10,6,1,4,1,0.25,84.3625,0,0.18478,0.284937
SYN008826,4504.0,2010-09-19 20:46:00,train,0,114.6,4.750136,16,77.0,1.49,4.44,0.2708,12,6,1,2,0,0.0,2.6153,0,0.181221,0.236339
SYN008827,1814.0,2010-09-19 21:14:00,train,1,2589.35,7.859548,23,330.0,7.85,23.64,1.7828,10,6,1,2,0,0.0,22.7104,0,0.199106,0.336869
SYN008828,4431.0,2010-09-19 21:22:00,train,0,69.21,4.251491,19,28.0,2.47,3.28,0.6499,15,6,1,4,0,0.0,104.8243,0,0.187139,0.250473
SYN008829,2390.0,2010-09-19 22:51:00,train,0,1293.32,7.165741,24,182.0,7.11,27.09,1.8653,10,6,1,2,0,0.0,113.1819,0,0.163065,0.245987
SYN008830,2270.0,2010-09-19 23:03:00,train,0,2033.21,7.617863,20,116.0,17.53,73.98,6.2133,13,6,1,6,1,0.166667,109.8917,0,0.214886,0.452478
SYN008831,1066.0,2010-09-19 23:29:00,train,0,395.01,5.981439,23,84.0,4.7,17.09,1.3415,9,6,1,3,0,0.0,59.1472,0,0.184229,0.245287
SYN008832,3476.0,2010-09-20 00:47:00,train,0,274.86,5.619893,20,153.0,1.8,7.26,0.414,12,0,1,9,1,0.111111,261.4181,0,0.175229,0.273912
SYN008833,5608.0,2010-09-20 01:27:00,train,1,127.04,4.852343,25,85.0,1.49,6.77,0.2102,12,0,1,1,0,0.0,13.5125,0,0.195337,0.398905
SYN008834,4122.0,2010-09-20 01:58:00,train,1,2449.3,7.803966,21,177.0,13.84,29.38,2.8546,13,0,1,1,0,0.0,1.0076,0,0.174468,0.218218
SYN008835,3753.0,2010-09-20 04:39:00,train,0,242.23,5.494007,19,65.0,3.73,5.97,1.02,12,0,1,2,1,0.5,56.3826,0,0.181775,0.254078
SYN008836,1782.0,2010-09-20 04:48:00,train,1,279.17,5.635397,21,59.0,4.73,20.23,0.8765,14,0,1,0,0,-1.0,0.0,1,0.169559,0.245706
SYN008837,5216.0,2010-09-20 05:23:00,train,0,304.27,5.721197,24,80.0,3.8,18.34,0.833,17,0,1,6,1,0.166667,225.275,0,0.210495,0.33692
SYN008838,3832.0,2010-09-20 05:44:00,train,0,78.9,4.380776,21,81.0,0.97,5.76,0.2176,13,0,1,2,0,0.0,95.2743,0,0.169632,0.275073
SYN008839,1376.0,2010-09-20 05:54:00,train,0,327.63,5.794932,25,103.0,3.18,18.79,1.0208,12,0,1,0,0,-1.0,0.0,1,0.177168,0.270596
SYN008840,2158.0,2010-09-20 06:01:00,train,0,492.35,6.201219,17,149.0,3.3,12.74,0.7851,10,0,1,6,1,0.166667,86.2806,0,0.191768,0.270588
SYN008841,2.0,2010-09-20 07:20:00,train,1,185.22,5.226929,23,252.0,0.74,2.53,0.1793,12,0,1,0,0,-1.0,0.0,1,0.178377,0.24159
SYN008842,3028.0,2010-09-20 07:35:00,train,0,875.25,6.775651,20,49.0,17.86,26.35,4.0309,19,0,1,2,0,0.0,23.0826,0,0.197981,0.265585
SYN008843,2612.0,2010-09-20 07:57:00,train,0,130.61,4.879843,23,108.0,1.21,4.68,0.2071,11,0,1,8,1,0.125,272.6361,0,0.183929,0.280139
SYN008844,1689.0,2010-09-20 08:51:00,train,0,1438.19,7.271836,27,297.0,4.84,26.64,0.82,17,0,1,3,1,0.333333,280.3639,0,0.174029,0.258247
SYN008845,3244.0,2010-09-20 09:09:00,train,0,111.47,4.722687,22,126.0,0.88,2.33,0.1536,13,0,1,0,0,-1.0,0.0,1,0.18227,0.274102
SYN008846,1752.0,2010-09-20 10:24:00,train,0,320.7,5.773619,22,320.0,1.0,3.27,0.2366,15,0,1,6,1,0.166667,96.8819,0,0.184458,0.26421
SYN008847,1157.0,2010-09-20 10:28:00,train,0,219.0,5.393628,21,68.0,3.22,10.54,0.4076,17,0,1,8,1,0.125,264.934,0,0.197568,0.273924
SYN008848,4167.0,2010-09-20 11:10:00,train,0,221.3,5.404028,22,375.0,0.59,1.79,0.1801,12,0,1,4,2,0.5,142.2,0,0.19349,0.321354
SYN008849,480.0,2010-09-20 11:44:00,train,0,231.57,5.449191,20,218.0,1.06,3.83,0.3009,15,0,1,1,0,0.0,59.9882,0,0.186313,0.254596
SYN008850,1080.0,2010-09-20 11:54:00,train,0,2296.89,7.739747,21,117.0,19.63,44.48,4.814,13,0,1,2,0,0.0,36.2708,0,0.184118,0.282741
SYN008851,1468.0,2010-09-20 12:03:00,train,0,325.26,5.787695,18,65.0,5.0,23.97,1.0773,10,0,1,2,1,0.5,72.6208,0,0.194698,0.270976
SYN008852,5082.0,2010-09-20 12:17:00,train,0,228.79,5.437166,21,234.0,0.98,3.65,0.2717,9,0,1,9,0,0.0,266.1208,0,0.186748,0.278425
SYN008853,1048.0,2010-09-20 12:46:00,train,0,41.89,3.758639,27,104.0,0.4,0.87,0.1104,16,0,1,1,0,0.0,38.0194,0,0.183748,0.348728
SYN008854,3387.0,2010-09-20 13:55:00,train,0,629.99,6.44729,20,142.0,4.44,16.87,1.5697,11,0,1,1,0,0.0,75.05,0,0.192869,0.280218
SYN008855,780.0,2010-09-20 14:01:00,train,1,1413.23,7.25434,24,289.0,4.89,29.08,1.3919,8,0,1,4,1,0.25,69.9785,0,0.178011,0.264227
SYN008856,5293.0,2010-09-20 14:09:00,train,0,162.27,5.095405,18,89.0,1.82,10.87,0.4194,12,0,1,0,0,-1.0,0.0,1,0.213862,0.337654
SYN008857,133.0,2010-09-20 15:13:00,train,0,767.9,6.644961,13,160.0,4.8,27.31,0.7839,11,0,0,2,1,0.5,89.7014,0,0.183226,0.268608
SYN008858,1084.0,2010-09-20 16:57:00,train,0,162.89,5.099195,28,185.0,0.88,2.76,0.2564,9,0,1,4,0,0.0,181.4792,0,0.1822,0.272518
SYN008859,1816.0,2010-09-20 17:34:00,train,0,62.41,4.149622,24,241.0,0.26,1.53,0.0375,14,0,1,0,0,-1.0,0.0,1,0.179744,0.262431
SYN008860,3082.0,2010-09-20 17:42:00,train,0,526.31,6.267789,27,198.0,2.66,7.0,0.5817,12,0,1,4,0,0.0,156.9229,0,0.177052,0.330484
SYN008861,1724.0,2010-09-20 18:08:00,train,0,631.57,6.449791,18,325.0,1.94,8.26,0.4469,15,0,1,3,0,0.0,103.4326,0,0.183828,0.237409
SYN008862,158.0,2010-09-20 19:08:00,train,1,350.92,5.863404,14,405.0,0.87,5.17,0.1684,12,0,0,0,0,-1.0,0.0,1,0.175988,0.23182
SYN008863,948.0,2010-09-20 19:16:00,train,0,830.48,6.723207,17,327.0,2.54,4.73,0.4303,14,0,1,0,0,-1.0,0.0,1,0.180741,0.290676
SYN008864,4223.0,2010-09-20 19:35:00,train,0,311.99,5.746171,24,408.0,0.76,2.79,0.1662,18,0,0,0,0,-1.0,0.0,1,0.183902,0.275118
SYN008865,1649.0,2010-09-20 21:13:00,train,0,29.44,3.415758,18,36.0,0.82,1.85,0.1932,19,0,1,1,0,0.0,23.8472,0,0.195048,0.402217
SYN008866,4179.0,2010-09-20 21:26:00,train,0,264.27,5.580748,18,134.0,1.97,4.34,0.6044,10,0,1,3,0,0.0,107.1278,0,0.167619,0.279516
SYN008867,4504.0,2010-09-20 21:35:00,train,0,226.25,5.426051,27,357.0,0.63,1.44,0.1679,9,0,1,3,0,0.0,3.6493,0,0.183067,0.261134
SYN008868,429.0,2010-09-20 22:09:00,train,1,268.56,5.596791,29,104.0,2.58,7.01,0.6883,9,0,1,7,1,0.142857,258.5493,0,0.178436,0.232112
SYN008869,1101.0,2010-09-20 22:22:00,train,0,1418.53,7.258081,17,294.0,4.82,23.38,1.7325,10,0,1,8,2,0.25,262.7174,0,0.173432,0.22412
SYN008870,5797.0,2010-09-20 23:11:00,train,1,397.5,5.987707,14,34.0,11.69,14.31,2.3519,13,0,1,2,0,0.0,48.125,0,0.201872,0.294179
SYN008871,5477.0,2010-09-20 23:12:00,train,0,294.8,5.689684,15,78.0,3.78,12.97,1.1781,17,0,1,2,0,0.0,159.891,0,0.18982,0.267808
SYN008872,947.0,2010-09-20 23:21:00,train,0,330.61,5.80396,23,105.0,3.15,4.85,0.78,16,0,1,2,0,0.0,107.6938,0,0.186521,0.246313
SYN008873,4579.0,2010-09-20 23:36:00,train,0,1016.91,6.925507,22,54.0,18.83,101.71,4.6239,12,0,1,3,0,0.0,210.1882,0,0.171921,0.264219
SYN008874,4293.0,2010-09-20 23:48:00,train,0,55.28,4.030339,17,469.0,0.12,0.17,0.0268,11,0,1,3,0,0.0,147.7097,0,0.170396,0.237398
SYN008875,4102.0,2010-09-20 23:52:00,train,0,364.17,5.900363,24,201.0,1.81,6.67,0.5773,12,0,1,0,0,-1.0,0.0,1,0.196157,0.324653
SYN008876,5699.0,2010-09-21 00:31:00,train,1,660.22,6.494087,19,111.0,5.95,9.46,1.3077,9,1,1,0,0,-1.0,0.0,1,0.179943,0.232053
SYN008877,3367.0,2010-09-21 00:49:00,train,0,126.3,4.846547,19,303.0,0.42,1.97,0.1295,12,1,1,5,1,0.2,200.8375,0,0.17056,0.22174
SYN008878,3078.0,2010-09-21 01:30:00,train,0,63.87,4.172385,20,162.0,0.39,1.78,0.1342,11,1,1,5,0,0.0,72.7507,0,0.195149,0.298655
SYN008879,460.0,2010-09-21 01:57:00,train,1,164.24,5.107399,22,70.0,2.35,6.32,0.3935,14,1,1,6,1,0.166667,240.0528,0,0.190707,0.483554
SYN008880,5844.0,2010-09-21 03:46:00,train,0,3875.63,8.262721,14,425.0,9.12,53.71,2.0639,13,1,1,3,1,0.333333,75.4104,0,0.18164,0.264333
SYN008881,3687.0,2010-09-21 04:04:00,train,0,1035.48,6.943586,20,173.0,5.99,30.92,1.1886,14,1,1,5,0,0.0,89.9264,0,0.178545,0.246405
SYN008882,2744.0,2010-09-21 04:32:00,train,0,595.62,6.39128,15,40.0,14.89,53.48,3.2264,13,1,1,0,0,-1.0,0.0,1,0.191479,0.260336
SYN008883,1155.0,2010-09-21 06:03:00,train,0,269.83,5.601491,17,21.0,12.85,45.4,3.7773,17,1,1,5,0,0.0,180.0014,0,0.175579,0.233437
SYN008884,1523.0,2010-09-21 06:10:00,train,0,66.63,4.214052,13,220.0,0.3,0.69,0.0503,12,1,1,1,0,0.0,11.0889,0,0.186009,0.242796
SYN008885,5300.0,2010-09-21 06:54:00,train,0,405.93,6.008641,23,559.0,0.73,1.04,0.1397,12,1,1,1,0,0.0,58.8354,0,0.189758,0.255062
SYN008886,3118.0,2010-09-21 07:02:00,train,1,453.04,6.118185,21,456.0,0.99,4.46,0.2299,20,1,1,0,0,-1.0,0.0,1,0.187437,0.360318
SYN008887,344.0,2010-09-21 08:28:00,train,0,256.04,5.549232,16,104.0,2.46,7.29,0.797,20,1,1,3,1,0.333333,166.2375,0,0.183594,0.342768
SYN008888,567.0,2010-09-21 08:58:00,train,0,391.15,5.971644,17,44.0,8.89,22.24,1.2676,16,1,1,2,1,0.5,87.8347,0,0.179363,0.250639
SYN008889,150.0,2010-09-21 09:02:00,train,0,181.88,5.20883,23,77.0,2.36,3.97,0.5726,9,1,1,2,0,0.0,36.5222,0,0.196008,0.272635
SYN008890,5756.0,2010-09-21 10:18:00,train,0,189.55,5.249915,19,23.0,8.24,24.0,3.2597,14,1,1,2,1,0.5,190.8812,0,0.210864,0.285191
SYN008891,2056.0,2010-09-21 10:49:00,train,0,634.89,6.455026,26,149.0,4.26,13.66,0.922,10,1,1,5,0,0.0,221.459,0,0.191143,0.250753
SYN008892,1464.0,2010-09-21 10:54:00,train,0,339.77,5.831208,26,131.0,2.59,3.21,0.754,12,1,1,4,1,0.25,159.9306,0,0.169825,0.246671
SYN008893,861.0,2010-09-21 10:58:00,train,0,178.12,5.188056,23,206.0,0.86,2.11,0.2491,18,1,1,6,2,0.333333,203.1236,0,0.169993,0.254752
SYN008894,4294.0,2010-09-21 12:03:00,train,0,222.14,5.407799,19,91.0,2.44,12.94,0.406,7,1,1,3,0,0.0,123.0215,0,0.181213,0.246213
SYN008895,4612.0,2010-09-21 12:16:00,train,0,430.11,6.066363,15,93.0,4.62,14.31,0.8764,16,1,1,1,0,0.0,7.2681,0,0.181132,0.23196
SYN008896,4192.0,2010-09-21 13:24:00,train,0,115.39,4.756947,15,160.0,0.72,3.36,0.192,12,1,1,1,0,0.0,178.7146,0,0.175709,0.246198
SYN008897,516.0,2010-09-21 14:55:00,train,0,852.38,6.749205,11,162.0,5.26,27.66,1.3048,13,1,1,0,0,-1.0,0.0,1,0.184551,0.27268
SYN008898,230.0,2010-09-21 15:12:00,train,0,45.07,3.830162,27,463.0,0.1,0.31,0.024,10,1,1,4,0,0.0,180.0896,0,0.174743,0.318952
SYN008899,242.0,2010-09-21 15:14:00,train,0,660.81,6.494979,23,59.0,11.2,66.51,2.1917,15,1,0,0,0,-1.0,0.0,1,0.197595,0.459033
SYN008900,2672.0,2010-09-21 17:05:00,train,0,29.07,3.403528,15,87.0,0.33,1.56,0.0689,11,1,1,1,0,0.0,17.416,0,0.177945,0.255115
SYN008901,938.0,2010-09-21 17:14:00,train,0,829.37,6.721871,20,349.0,2.38,11.65,0.5033,6,1,1,0,0,-1.0,0.0,1,0.188124,0.392941
SYN008902,232.0,2010-09-21 17:22:00,train,0,326.28,5.790816,17,171.0,1.91,8.37,0.7384,15,1,1,3,1,0.333333,38.3535,0,0.179554,0.269858
SYN008903,4955.0,2010-09-21 17:42:00,train,1,1554.53,7.349572,19,68.0,22.86,62.32,6.973,13,1,1,4,1,0.25,184.184,0,0.187107,0.395813
SYN008904,339.0,2010-09-21 18:35:00,train,0,60.05,4.111693,15,630.0,0.1,0.32,0.0179,10,1,1,4,1,0.25,227.0819,0,0.185716,0.242812
SYN008905,2706.0,2010-09-21 19:06:00,train,0,1881.35,7.540276,28,136.0,13.83,41.25,4.5036,16,1,1,1,0,0.0,20.1104,0,0.166778,0.235482
SYN008906,33.0,2010-09-21 19:15:00,train,0,179.4,5.195177,10,47.0,3.82,18.4,1.327,17,1,1,2,0,0.0,58.45,0,0.208604,0.250767
SYN008907,1550.0,2010-09-21 19:34:00,train,0,230.06,5.442677,26,218.0,1.06,2.85,0.2525,11,1,1,2,0,0.0,142.066,0,0.192659,0.271403
SYN008908,3023.0,2010-09-21 19:37:00,train,1,62.47,4.150567,25,208.0,0.3,1.4,0.0803,12,1,1,1,0,0.0,42.8924,0,0.19609,0.375677
SYN008909,5690.0,2010-09-21 21:08:00,train,0,423.06,6.049875,22,48.0,8.81,23.98,2.3791,13,1,1,0,0,-1.0,0.0,1,0.1798,0.293297
SYN008910,5176.0,2010-09-21 22:06:00,train,0,689.35,6.537199,15,142.0,4.85,11.07,1.1968,12,1,1,0,0,-1.0,0.0,1,0.201149,0.280412
SYN008911,1727.0,2010-09-21 22:42:00,train,0,41.86,3.757939,22,282.0,0.15,0.51,0.0377,18,1,1,0,0,-1.0,0.0,1,0.192415,0.289749
SYN008912,160.0,2010-09-21 22:43:00,train,0,131.93,4.889823,28,317.0,0.42,0.86,0.0902,11,1,1,0,0,-1.0,0.0,1,0.183927,0.290237
SYN008913,4621.0,2010-09-21 22:54:00,train,0,349.24,5.858619,24,259.0,1.35,8.05,0.413,13,1,1,2,1,0.5,62.5715,0,0.174044,0.250799
SYN008914,4930.0,2010-09-21 23:17:00,train,0,525.98,6.267163,18,37.0,14.22,34.03,3.176,14,1,0,2,1,0.5,99.5257,0,0.181732,0.250875
SYN008915,1488.0,2010-09-21 23:19:00,train,0,40.72,3.730981,15,103.0,0.4,1.1,0.1172,16,1,1,1,0,0.0,31.3472,0,0.175614,0.262648
SYN008916,1306.0,2010-09-22 00:22:00,train,1,666.98,6.504258,24,646.0,1.03,1.66,0.2696,12,2,1,0,0,-1.0,0.0,1,0.185827,0.270929
SYN008917,2258.0,2010-09-22 00:46:00,train,0,583.0,6.369901,13,125.0,4.66,10.74,2.2078,9,2,1,0,0,-1.0,0.0,1,0.184159,0.265609
SYN008918,4718.0,2010-09-22 00:46:00,train,0,198.6,5.296315,16,171.0,1.16,3.95,0.2726,11,2,1,4,2,0.5,131.4701,0,0.187166,0.270913
SYN008919,4460.0,2010-09-22 00:51:00,train,0,328.12,5.796422,19,63.0,5.21,23.79,1.4285,16,2,1,0,0,-1.0,0.0,1,0.185449,0.242421
SYN008920,5308.0,2010-09-22 00:57:00,train,0,88.61,4.495467,27,195.0,0.45,1.39,0.0992,17,2,1,2,0,0.0,100.3319,0,0.176284,0.243307
SYN008921,3193.0,2010-09-22 01:42:00,train,0,299.3,5.704782,12,74.0,4.04,17.82,0.8738,10,2,1,2,0,0.0,26.8854,0,0.174026,0.250717
SYN008922,3098.0,2010-09-22 01:43:00,train,0,422.94,6.049592,22,243.0,1.74,3.1,0.5081,13,2,1,2,0,0.0,135.0944,0,0.174815,0.23668
SYN008923,2550.0,2010-09-22 01:53:00,train,0,191.18,5.258432,26,301.0,0.64,1.95,0.1644,15,2,1,1,0,0.0,37.8757,0,0.194402,0.304777
SYN008924,4293.0,2010-09-22 03:23:00,train,0,31.35,3.476614,14,70.0,0.45,2.22,0.1124,14,2,1,4,0,0.0,148.859,0,0.179099,0.307816
SYN008925,3758.0,2010-09-22 03:44:00,train,0,1179.6,7.073778,24,245.0,4.81,24.82,1.0747,14,2,1,7,2,0.285714,217.7486,0,0.171585,0.278494
SYN008926,385.0,2010-09-22 04:10:00,train,1,539.79,6.293031,14,140.0,3.86,8.97,1.3295,10,2,1,2,1,0.5,31.1597,0,0.204056,0.270894
SYN008927,4338.0,2010-09-22 04:13:00,train,0,232.29,5.452282,29,220.0,1.06,5.2,0.31,14,2,1,4,0,0.0,157.7826,0,0.179881,0.238468
SYN008928,1448.0,2010-09-22 04:39:00,train,0,253.83,5.540597,24,480.0,0.53,1.17,0.1371,13,2,1,6,0,0.0,95.9438,0,0.181327,0.246545
SYN008929,1128.0,2010-09-22 05:47:00,train,0,416.7,6.034763,18,138.0,3.02,17.35,0.7855,12,2,1,7,2,0.285714,122.0681,0,0.175637,0.254885
SYN008930,4139.0,2010-09-22 05:53:00,train,1,63.22,4.162315,15,47.0,1.35,7.43,0.4142,17,2,1,0,0,-1.0,0.0,1,0.185483,0.259127
SYN008931,3689.0,2010-09-22 06:40:00,train,0,1120.54,7.022458,25,208.0,5.39,10.36,0.8535,15,2,1,6,1,0.166667,273.575,0,0.173635,0.242491
SYN008932,3078.0,2010-09-22 07:01:00,train,0,90.77,4.519285,34,306.0,0.3,0.85,0.0618,9,2,1,6,0,0.0,73.9806,0,0.179827,0.250791
SYN008933,2596.0,2010-09-22 07:04:00,train,1,286.46,5.661084,22,207.0,1.38,8.23,0.3417,11,2,1,1,0,0.0,25.4639,0,0.177374,0.337248
SYN008934,2675.0,2010-09-22 07:41:00,train,1,66.67,4.214643,20,313.0,0.21,0.96,0.0467,8,2,1,0,0,-1.0,0.0,1,0.184046,0.282736
SYN008935,4621.0,2010-09-22 07:57:00,train,0,388.27,5.964273,23,163.0,2.38,7.13,0.6642,14,2,1,3,1,0.333333,62.9486,0,0.200925,0.282729
SYN008936,4920.0,2010-09-22 08:13:00,train,1,350.45,5.862067,20,74.0,4.74,24.77,1.0154,8,2,1,4,1,0.25,95.8583,0,0.203862,0.304093
SYN008937,864.0,2010-09-22 09:29:00,train,0,852.87,6.749779,20,46.0,18.54,60.97,4.0207,13,2,1,1,0,0.0,39.5278,0,0.173481,0.222119
SYN008938,410.0,2010-09-22 09:56:00,train,0,385.55,5.957261,24,502.0,0.77,4.05,0.2481,15,2,1,2,0,0.0,26.2062,0,0.181657,0.260642
SYN008939,1938.0,2010-09-22 10:02:00,train,0,279.75,5.637465,19,96.0,2.91,6.37,0.6403,14,2,0,1,0,0.0,10.2944,0,0.185168,0.30496
SYN008940,4015.0,2010-09-22 10:23:00,train,1,1014.62,6.923255,20,114.0,8.9,41.77,2.3364,11,2,1,2,0,0.0,201.6757,0,0.178424,0.292543
SYN008941,5212.0,2010-09-22 10:34:00,train,0,203.49,5.320519,19,1177.0,0.17,0.83,0.0391,12,2,1,6,0,0.0,90.0465,0,0.183855,0.266971
SYN008942,5436.0,2010-09-22 10:40:00,train,0,360.6,5.890539,27,77.0,4.68,17.31,1.0372,10,2,1,2,0,0.0,86.809,0,0.196018,0.389711
SYN008943,1474.0,2010-09-22 11:00:00,train,0,159.57,5.07873,25,297.0,0.54,3.21,0.127,13,2,1,0,0,-1.0,0.0,1,0.176417,0.236819
